task_id,title,objective_source,source_verification,implementation_status,training_requirement,qualification_status,test_status,official_acceptance_status,input_schema_ref,output_schema_ref,rubric_ref,blockers
1,Prepare an Annex B,Organizer presentation; owner transcription supplied 2026-09-08,USER_SUPPLIED_TRANSCRIPTION,NOT_IMPLEMENTED,TASK_METHOD_QUALIFICATION_REQUIRED,NOT_ESTABLISHED,NOT_RUN,NOT_ESTABLISHED,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,Official task format/rubric/scenarios and live method/data qualification; task-specific implementation also needed where absent
2,Prepare an Annex L,Organizer presentation; owner transcription supplied 2026-09-08,USER_SUPPLIED_TRANSCRIPTION,NOT_IMPLEMENTED,TASK_METHOD_QUALIFICATION_REQUIRED,NOT_ESTABLISHED,NOT_RUN,NOT_ESTABLISHED,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,Official task format/rubric/scenarios and live method/data qualification; task-specific implementation also needed where absent
3,Build a Modified Combined Obstacles Overlay (MCOO),Organizer presentation; owner transcription supplied 2026-09-08,USER_SUPPLIED_TRANSCRIPTION,NOT_IMPLEMENTED,TASK_METHOD_QUALIFICATION_REQUIRED,NOT_ESTABLISHED,NOT_RUN,NOT_ESTABLISHED,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,Official task format/rubric/scenarios and live method/data qualification; task-specific implementation also needed where absent
4,Prepare a Terrain Effects Matrix,Organizer presentation; owner transcription supplied 2026-09-08,USER_SUPPLIED_TRANSCRIPTION,NOT_IMPLEMENTED,TASK_METHOD_QUALIFICATION_REQUIRED,NOT_ESTABLISHED,NOT_RUN,NOT_ESTABLISHED,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,Official task format/rubric/scenarios and live method/data qualification; task-specific implementation also needed where absent
5,Prepare a Weather Effects Matrix,Organizer presentation; owner transcription supplied 2026-09-08,USER_SUPPLIED_TRANSCRIPTION,NOT_IMPLEMENTED,TASK_METHOD_QUALIFICATION_REQUIRED,NOT_ESTABLISHED,NOT_RUN,NOT_ESTABLISHED,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,Official task format/rubric/scenarios and live method/data qualification; task-specific implementation also needed where absent
6,Prepare a Key Systems Matrix by Warfighting Function,Organizer presentation; owner transcription supplied 2026-09-08,USER_SUPPLIED_TRANSCRIPTION,NOT_IMPLEMENTED,TASK_METHOD_QUALIFICATION_REQUIRED,NOT_ESTABLISHED,NOT_RUN,NOT_ESTABLISHED,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,Official task format/rubric/scenarios and live method/data qualification; task-specific implementation also needed where absent
7,Produce a Doctrinal Template,Organizer presentation; owner transcription supplied 2026-09-08,USER_SUPPLIED_TRANSCRIPTION,NOT_IMPLEMENTED,TASK_METHOD_QUALIFICATION_REQUIRED,NOT_ESTABLISHED,NOT_RUN,NOT_ESTABLISHED,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,Official task format/rubric/scenarios and live method/data qualification; task-specific implementation also needed where absent
8,Produce Courses of Action,Organizer presentation; owner transcription supplied 2026-09-08,USER_SUPPLIED_TRANSCRIPTION,LOCAL_PROTOTYPE,TASK_METHOD_QUALIFICATION_REQUIRED,NOT_ESTABLISHED,LOCAL_TESTS_ONLY,NOT_ESTABLISHED,LOCAL_BASELINE_ONLY,LOCAL_BASELINE_ONLY,NOT_SUPPLIED,Official task format/rubric/scenarios and live method/data qualification; task-specific implementation also needed where absent
9,Produce a Situational Template,Organizer presentation; owner transcription supplied 2026-09-08,USER_SUPPLIED_TRANSCRIPTION,NOT_IMPLEMENTED,TASK_METHOD_QUALIFICATION_REQUIRED,NOT_ESTABLISHED,NOT_RUN,NOT_ESTABLISHED,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,Official task format/rubric/scenarios and live method/data qualification; task-specific implementation also needed where absent
10,Prepare a Civilian Considerations Assessment,Organizer presentation; owner transcription supplied 2026-09-08,USER_SUPPLIED_TRANSCRIPTION,PARTIAL_SUPPORT,TASK_METHOD_QUALIFICATION_REQUIRED,NOT_ESTABLISHED,LOCAL_TESTS_ONLY,NOT_ESTABLISHED,LOCAL_BASELINE_ONLY,LOCAL_BASELINE_ONLY,NOT_SUPPLIED,Official task format/rubric/scenarios and live method/data qualification; task-specific implementation also needed where absent
