scenario,name,seed,functional_status,quality_status,reason,expected,coverage,data_mode,dataset_id,events,excluded_advisory_evidence,f1,false_alerts,gated_options,graph_f1,graph_status,labelled_records,mapped_records,median_detection_seconds,missed_events,missed_positive_records,missing_geometry,passing_options,precision,recall,seconds,sources,stale_records,supporting_pairs,test_records,vetoed_options,f1_delta,graph_f1_delta,recall_delta,coverage_delta,same_frozen_model,changed_records,labels_changed,findings,event_root,run_id
clean,Clean coastal replay,11,PASS,MEASURED,,All four tasks on a reproducible synthetic environmental dataset.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.3150594850012567,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,[],189698db0f18a99c92828eb3f258a9e8e92218a1e8ff17775f71be60d11ede9d,run-ed9bc8715f994b1d
S12-1,Duplicate reporting burst,11,PASS,MEASURED,,Deduplicate identical observations; do not count copies as independent sources.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.19042435200026375,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,[],189698db0f18a99c92828eb3f258a9e8e92218a1e8ff17775f71be60d11ede9d,run-5055f31eb9614f89
S12-2,Clock jitter and ingestion delay,11,PASS,MEASURED,,Preserve observation/ingestion time and report late or uncertain samples.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.12504917200021737,4,0,159,320,0,0.0,0.0,0.0,0.0,True,320,0,[],60a8e0b055e174ad402e067d23b2e1518e31f4391757f7fce9a61dba892a4fcf,run-cae22d7aabdb4f2b
S12-3,Ontology remapping,11,PASS,DEGRADATION_OBSERVED,,Flag unknown schema/ontology and exclude unsupported interpretation.,0.85625,SYNTHETIC_TEST,demo-11,2,52,1.0,0,0,0.8089887640449438,MEASURED,320,320,0.0,0,17,0,3,1.0,0.8468468468468469,0.12305167500016978,4,0,108,320,0,0.0,-0.1910112359550562,-0.15315315315315314,-0.14375000000000004,True,46,0,"[""Some observations abstained; eligible-only F1 does not measure full coverage."", ""Recall including abstentions decreased."", ""Link-classification F1 decreased.""]",d90e5ea7fc9e0e9498394272ddf395a3b212158916e933a64d0253e1fa4cdeb3,run-8065a22121de4810
S12-4,Missing geography,11,PASS,DEGRADATION_OBSERVED,,Retain signals while omitting unsupported map points.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,0.5545454545454546,MEASURED,320,213,0.0,0,0,107,3,1.0,1.0,0.19786193400068441,4,0,61,320,0,0.0,-0.44545454545454544,0.0,0.0,True,107,0,"[""Link-classification F1 decreased.""]",708417a7da4794f19c59d201b85543acd7cacc00cc85022e15e40027174781b1,run-962ea623d7894d9a
S12-5,Novel source aliases,11,PASS,MEASURED,,Keep unknown identities separate until an alias mapping is supplied.,1.0,SYNTHETIC_TEST,demo-11,2,74,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.22122734499862418,4,0,159,320,0,0.0,0.0,0.0,0.0,True,80,0,[],5d23e56cee022b84613a3e2bab9f59deedde7e849a4811a2c15d2f7f88d3c3ee,run-226b0e64d3944a72
S13-1,Same-name entities,11,PASS,MEASURED,,Stable IDs prevent two same-name entities from being merged.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.14840887999889674,4,0,159,320,0,0.0,0.0,0.0,0.0,True,320,0,[],e80a168d184eb7ef6b70882b4f7186f843946db4fd4234a4b39b3443d15c6866,run-e93447b98c334e07
S13-2,Hub-source removal,11,PASS,MEASURED,,Recompute affected links and expose lost evidence.,1.0,SYNTHETIC_TEST,demo-11,2,45,1.0,0,0,1.0,MEASURED,240,240,0.0,0,0,0,3,1.0,1.0,0.12767034200078342,3,0,77,240,0,0.0,0.0,0.0,0.0,True,0,0,[],e7bd93b18ca72e4dcc694a6b43cc8913b0904984090d7400169da99c4f2ef68e,run-7e238684ab324ca7
S13-3,Relation imbalance,11,PASS,DEGRADATION_OBSERVED,,Retain per-relation counts and disclose a dominant relation.,0.8,SYNTHETIC_TEST,demo-11,2,111,1.0,0,3,1.0,MEASURED,320,320,0.0,0,0,80,0,1.0,1.0,0.1353018970003177,5,0,159,400,0,0.0,0.0,0.0,-0.19999999999999996,True,0,0,"[""Some observations abstained; eligible-only F1 does not measure full coverage."", ""No advisory option passes the declared envelope.""]",dcabd78b1d9a2a7d932b6e18c64e7710b216c0affd7371fbf5f3ed3d6ee327f7,run-c5b3af5b040f4f03
S13-4,Inverse-edge leakage trap,11,PASS,INVALID_LINK_EVALUATION,,Audit overlapping/reversed train/test edges; invalidate contaminated evaluation.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,,INVALID_LEAKAGE,320,320,0.0,0,0,0,3,1.0,1.0,0.185772322000048,4,0,159,320,0,0.0,,0.0,0.0,True,0,0,"[""Link quality is invalidated by the injected split leakage.""]",189698db0f18a99c92828eb3f258a9e8e92218a1e8ff17775f71be60d11ede9d,run-de566090b94346fb
